id,name,aliases,type
TMT,Turkmenistan New Manat,TMT|934,currency
UGX,Uganda Shilling,UGX|800,currency
UAH,Hryvnia,UAH|980,currency
AED,UAE Dirham,AED|784,currency
USN,US Dollar (Next day),USN|997,currency
UYU,Peso Uruguayo,UYU|858,currency
UYI,Uruguay Peso en Unidades Indexadas (UI),UYI|940,currency
UYW,Unidad Previsional,UYW|927,currency
UZS,Uzbekistan Sum,UZS|860,currency
VUV,Vatu,VUV|548,currency
VES,BolÃ­var Soberano,VES|928,currency
VED,BolÃ­var Soberano,VED|926,currency
VND,Dong,VND|704,currency
YER,Yemeni Rial,YER|886,currency
ZMW,Zambian Kwacha,ZMW|967,currency
ZWG,Zimbabwe Gold,ZWG|924,currency
XBA,Bond Markets Unit European Composite Unit (EURCO),XBA|955,currency
XBB,Bond Markets Unit European Monetary Unit (E.M.U.-6),XBB|956,currency
XBC,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),XBC|957,currency
XBD,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),XBD|958,currency
XTS,Codes specifically reserved for testing purposes,XTS|963,currency
XXX,The codes assigned for transactions where no currency is involved,XXX|999,currency
XAU,Gold,XAU|959,currency
XPD,Palladium,XPD|964,currency
XPT,Platinum,XPT|962,currency
XAG,Silver,XAG|961,currency
AFA,Afghani,AFA|004,currency
FIM,Markka,FIM|246,currency
ALK,Old Lek,ALK|008,currency
ADP,Andorran Peseta,ADP|020,currency
ESP,Spanish Peseta,ESP|724,currency
FRF,French Franc,FRF|250,currency
AOK,Kwanza,AOK|024,currency
AON,New Kwanza,AON|024,currency
AOR,Kwanza Reajustado,AOR|982,currency
ARA,Austral,ARA|032,currency
ARP,Peso Argentino,ARP|032,currency
ARY,Peso,ARY|032,currency
RUR,Russian Ruble,RUR|810,currency
ATS,Schilling,ATS|040,currency
AYM,Azerbaijan Manat,AYM|945,currency
AZM,Azerbaijanian Manat,AZM|031,currency
BYB,Belarusian Ruble,BYB|112,currency
BYR,Belarusian Ruble,BYR|974,currency
BEC,Convertible Franc,BEC|993,currency
BEF,Belgian Franc,BEF|056,currency
BEL,Financial Franc,BEL|992,currency
BOP,Peso boliviano,BOP|068,currency
BAD,Dinar,BAD|070,currency
BRB,Cruzeiro,BRB|076,currency
BRC,Cruzado,BRC|076,currency
BRE,Cruzeiro,BRE|076,currency
BRN,New Cruzado,BRN|076,currency
BRR,Cruzeiro Real,BRR|987,currency
BGJ,Lev A/52,BGJ|100,currency
BGK,Lev A/62,BGK|100,currency
BGL,Lev,BGL|100,currency
BGN,Bulgarian Lev,BGN|975,currency
BUK,Kyat,BUK|104,currency
HRD,Croatian Dinar,HRD|191,currency
HRK,Croatian Kuna,HRK|191,currency
CUC,Peso Convertible,CUC|931,currency
ANG,Netherlands Antillean Guilder,ANG|532,currency
CYP,Cyprus Pound,CYP|196,currency
CSJ,Krona A/53,CSJ|203,currency
CSK,Koruna,CSK|200,currency
ECS,Sucre,ECS|218,currency
ECV,Unidad de Valor Constante (UVC),ECV|983,currency
GQE,Ekwele,GQE|226,currency
EEK,Kroon,EEK|233,currency
XEU,European Currency Unit (E.C.U),XEU|954,currency
GEK,Georgian Coupon,GEK|268,currency
DDM,Mark der DDR,DDM|278,currency
DEM,Deutsche Mark,DEM|276,currency
GHC,Cedi,GHC|288,currency
GHP,Ghana Cedi,GHP|939,currency
GRD,Drachma,GRD|300,currency
GNE,Syli,GNE|324,currency
GNS,Syli,GNS|324,currency
GWE,Guinea Escudo,GWE|624,currency
GWP,Guinea-Bissau Peso,GWP|624,currency
ITL,Italian Lira,ITL|380,currency
ISJ,Old Krona,ISJ|352,currency
IEP,Irish Pound,IEP|372,currency
ILP,Pound,ILP|376,currency
ILR,Old Shekel,ILR|376,currency
LAJ,Pathet Lao Kip,LAJ|418,currency
LVL,Latvian Lats,LVL|428,currency
LVR,Latvian Ruble,LVR|428,currency
LSM,Loti,LSM|426,currency
ZAL,Financial Rand,ZAL|991,currency
LTL,Lithuanian Litas,LTL|440,currency
LTT,Talonas,LTT|440,currency
LUC,Luxembourg Convertible Franc,LUC|989,currency
LUF,Luxembourg Franc,LUF|442,currency
LUL,Luxembourg Financial Franc,LUL|988,currency
MGF,Malagasy Franc,MGF|450,currency
MVQ,Maldive Rupee,MVQ|462,currency
MLF,Mali Franc,MLF|466,currency
MTL,Maltese Lira,MTL|470,currency
MTP,Maltese Pound,MTP|470,currency
MRO,Ouguiya,MRO|478,currency
MXP,Mexican Peso,MXP|484,currency
MZE,Mozambique Escudo,MZE|508,currency
MZM,Mozambique Metical,MZM|508,currency
NLG,Netherlands Guilder,NLG|528,currency
NIC,Cordoba,NIC|558,currency
PEH,Sol,PEH|604,currency
PEI,Inti,PEI|604,currency
PES,Sol,PES|604,currency
PLZ,Zloty,PLZ|616,currency
PTE,Portuguese Escudo,PTE|620,currency
ROK,Leu A/52,ROK|642,currency
ROL,Old Leu,ROL|642,currency
STD,Dobra,STD|678,currency
CSD,Serbian Dinar,CSD|891,currency
SLL,Leone,SLL|694,currency
SKK,Slovak Koruna,SKK|703,currency
SIT,Tolar,SIT|705,currency
RHD,Rhodesian Dollar,RHD|716,currency
ESA,Spanish Peseta,ESA|996,currency
ESB,"""A"" Account (convertible Peseta Account)",ESB|995,currency
SDD,Sudanese Dinar,SDD|736,currency
SDP,Sudanese Pound,SDP|736,currency
SRG,Surinam Guilder,SRG|740,currency
CHC,WIR Franc (for electronic),CHC|948,currency
