id,name,aliases,type,country_code
Africa/Mbabane,Mbabane,Africa/Mbabane|Africa|Africa,timezone,SZ
America/Grand_Turk,Grand Turk,America/Grand Turk|America|America,timezone,TC
Africa/Ndjamena,Ndjamena,Africa/Ndjamena|Africa|Africa,timezone,TD
Indian/Kerguelen,Kerguelen,Indian/Kerguelen|Indian|Indian,timezone,TF
Africa/Lome,Lome,Africa/Lome|Africa|Africa,timezone,TG
Asia/Bangkok,Bangkok,Asia/Bangkok|Asia|Asia,timezone,TH
Asia/Dushanbe,Dushanbe,Asia/Dushanbe|Asia|Asia,timezone,TJ
Pacific/Fakaofo,Fakaofo,Pacific/Fakaofo|Pacific|Pacific,timezone,TK
Asia/Dili,Dili,Asia/Dili|Asia|Asia,timezone,TL
Asia/Ashgabat,Ashgabat,Asia/Ashgabat|Asia|Asia,timezone,TM
Africa/Tunis,Tunis,Africa/Tunis|Africa|Africa,timezone,TN
Pacific/Tongatapu,Tongatapu,Pacific/Tongatapu|Pacific|Pacific,timezone,TO
Europe/Istanbul,Istanbul,Europe/Istanbul|Europe|Europe,timezone,TR
America/Port_of_Spain,Port of Spain,America/Port of Spain|America|America,timezone,TT
Pacific/Funafuti,Funafuti,Pacific/Funafuti|Pacific|Pacific,timezone,TV
Asia/Taipei,Taipei,Asia/Taipei|Asia|Asia,timezone,TW
Africa/Dar_es_Salaam,Dar es Salaam,Africa/Dar es Salaam|Africa|Africa,timezone,TZ
Europe/Kyiv,Kyiv,Europe/Kyiv|Europe|Europe,timezone,UA
Africa/Kampala,Kampala,Africa/Kampala|Africa|Africa,timezone,UG
Pacific/Midway,Midway,Pacific/Midway|Pacific|Pacific,timezone,UM
Pacific/Wake,Wake,Pacific/Wake|Pacific|Pacific,timezone,UM
America/New_York,New York,America/New York|America|America,timezone,US
America/Detroit,Detroit,America/Detroit|America|America,timezone,US
America/Kentucky/Louisville,Louisville,America/Kentucky/Louisville|America|America,timezone,US
America/Kentucky/Monticello,Monticello,America/Kentucky/Monticello|America|America,timezone,US
America/Indiana/Indianapolis,Indianapolis,America/Indiana/Indianapolis|America|America,timezone,US
America/Indiana/Vincennes,Vincennes,America/Indiana/Vincennes|America|America,timezone,US
America/Indiana/Winamac,Winamac,America/Indiana/Winamac|America|America,timezone,US
America/Indiana/Marengo,Marengo,America/Indiana/Marengo|America|America,timezone,US
America/Indiana/Petersburg,Petersburg,America/Indiana/Petersburg|America|America,timezone,US
America/Indiana/Vevay,Vevay,America/Indiana/Vevay|America|America,timezone,US
America/Chicago,Chicago,America/Chicago|America|America,timezone,US
America/Indiana/Tell_City,Tell City,America/Indiana/Tell City|America|America,timezone,US
America/Indiana/Knox,Knox,America/Indiana/Knox|America|America,timezone,US
America/Menominee,Menominee,America/Menominee|America|America,timezone,US
America/North_Dakota/Center,Center,America/North Dakota/Center|America|America,timezone,US
America/North_Dakota/New_Salem,New Salem,America/North Dakota/New Salem|America|America,timezone,US
America/North_Dakota/Beulah,Beulah,America/North Dakota/Beulah|America|America,timezone,US
America/Denver,Denver,America/Denver|America|America,timezone,US
America/Boise,Boise,America/Boise|America|America,timezone,US
America/Phoenix,Phoenix,America/Phoenix|America|America,timezone,US
America/Los_Angeles,Los Angeles,America/Los Angeles|America|America,timezone,US
America/Anchorage,Anchorage,America/Anchorage|America|America,timezone,US
America/Juneau,Juneau,America/Juneau|America|America,timezone,US
America/Sitka,Sitka,America/Sitka|America|America,timezone,US
America/Metlakatla,Metlakatla,America/Metlakatla|America|America,timezone,US
America/Yakutat,Yakutat,America/Yakutat|America|America,timezone,US
America/Nome,Nome,America/Nome|America|America,timezone,US
America/Adak,Adak,America/Adak|America|America,timezone,US
Pacific/Honolulu,Honolulu,Pacific/Honolulu|Pacific|Pacific,timezone,US
America/Montevideo,Montevideo,America/Montevideo|America|America,timezone,UY
Asia/Samarkand,Samarkand,Asia/Samarkand|Asia|Asia,timezone,UZ
Asia/Tashkent,Tashkent,Asia/Tashkent|Asia|Asia,timezone,UZ
Europe/Vatican,Vatican,Europe/Vatican|Europe|Europe,timezone,VA
America/St_Vincent,St Vincent,America/St Vincent|America|America,timezone,VC
America/Caracas,Caracas,America/Caracas|America|America,timezone,VE
America/Tortola,Tortola,America/Tortola|America|America,timezone,VG
America/St_Thomas,St Thomas,America/St Thomas|America|America,timezone,VI
Asia/Ho_Chi_Minh,Ho Chi Minh,Asia/Ho Chi Minh|Asia|Asia,timezone,VN
Pacific/Efate,Efate,Pacific/Efate|Pacific|Pacific,timezone,VU
Pacific/Wallis,Wallis,Pacific/Wallis|Pacific|Pacific,timezone,WF
Pacific/Apia,Apia,Pacific/Apia|Pacific|Pacific,timezone,WS
Asia/Aden,Aden,Asia/Aden|Asia|Asia,timezone,YE
Indian/Mayotte,Mayotte,Indian/Mayotte|Indian|Indian,timezone,YT
Africa/Johannesburg,Johannesburg,Africa/Johannesburg|Africa|Africa,timezone,ZA
Africa/Lusaka,Lusaka,Africa/Lusaka|Africa|Africa,timezone,ZM
Africa/Harare,Harare,Africa/Harare|Africa|Africa,timezone,ZW
